building_id,district,postal_code,address,latitude,longitude,construction_year,building_type,num_units,total_area_m2,num_floors,roof_type,facade_material,window_type,heating_system,heating_age,insulation_walls,insulation_roof,insulation_basement,ownership_type,epc_rating,epc_date,energy_consumption_kwh_m2,last_renovation_year,listed_building
BLD-01498,Charlottenburg-Wilmersdorf,10585,Karl-Marx-Str. 110,52.505288,13.315697,1990,1980s block,11,898.4,8,Hip,Mixed,Triple-pane,Electric,2,Partial,Partial,None,Corporate landlord,D,2019-06-24,124.6,,FALSE
BLD-01499,Charlottenburg-Wilmersdorf,14193,Hellersdorfer Str. 84,52.524075,13.331385,1898,Gründerzeit,32,2017.9,7,Flat,Prefab panel,Double-pane,Heat pump,21,None,None,Partial,Housing cooperative,G,2022-09-01,244.5,2011,FALSE
BLD-01500,Pankow,13189,Gatower Str. 118,52.575001,13.423969,1947,Post-war,23,2157.8,3,Mansard,Sandstone,Single-pane,District heating,28,None,None,None,Municipal,G,2018-08-16,213.9,1997,FALSE
BLD-01501,Marzahn-Hellersdorf,12683,Danziger Str. 157,52.529098,13.563425,1973,1970s block,27,1591.8,7,Mansard,Mixed,Single-pane,Gas boiler,26,Full,Partial,None,Municipal,E,2020-12-08,147.5,2005,FALSE
BLD-01502,Mitte,10115,Brunsbütteler Damm 48,52.526314,13.380327,1877,Altbau,27,2728.1,5,Pitched,Mixed,Single-pane,Heat pump,10,None,None,None,Condominium,G,2018-02-24,236.7,,FALSE
BLD-01503,Treptow-Köpenick,12459,Torstr. 123,52.455265,13.546282,1974,1970s block,19,1638.3,2,Mansard,Render,Double-pane,Gas boiler,33,None,None,None,Private landlord,E,2018-01-29,157.7,,FALSE
BLD-01504,Spandau,13597,Karl-Marx-Str. 57,52.510225,13.238695,1979,1970s block,9,888.3,7,Hip,Render,Triple-pane,Gas boiler,23,Partial,Partial,Partial,Housing cooperative,F,2017-12-05,168.2,,FALSE
BLD-01505,Steglitz-Zehlendorf,12169,Schönhauser Allee 158,52.45636,13.320325,1975,1970s block,29,3080.6,6,Hip,Mixed,Triple-pane,District heating,4,None,None,Partial,Housing cooperative,F,2023-05-28,198.6,,FALSE
BLD-01506,Spandau,13583,Heerstr. 90,52.514819,13.228361,1975,1970s block,25,2479.2,4,Mansard,Mixed,Single-pane,Gas boiler,23,None,None,None,Housing cooperative,F,2023-02-07,181.7,2003,FALSE
BLD-01507,Mitte,10178,Marzahner Chaussee 36,52.52408,13.413738,1880,Altbau,26,2026.0,4,Flat,Sandstone,Single-pane,Heat pump,33,None,None,None,Housing cooperative,G,2018-03-27,212.8,1990,FALSE
BLD-01508,Marzahn-Hellersdorf,12619,Hauptstr. 171,52.547404,13.59811,1908,Gründerzeit,38,3358.9,3,Pitched,Render,Single-pane,Oil boiler,5,Full,None,Full,Condominium,H,2021-06-03,252.4,2007,FALSE
BLD-01509,Spandau,13585,Mariendorfer Damm 71,52.525257,13.227053,1987,1980s block,7,584.2,5,Mansard,Mixed,Mixed,Heat pump,18,None,None,None,Municipal,E,2019-12-28,144.4,2014,FALSE
BLD-01510,Marzahn-Hellersdorf,12619,Pappelallee 157,52.531663,13.565315,1956,Post-war,27,2433.4,5,Mansard,Concrete,Triple-pane,Electric,31,None,None,None,Municipal,F,2016-02-22,198.3,,FALSE
BLD-01511,Marzahn-Hellersdorf,12623,Lichtenberger Str. 69,52.552784,13.590815,1899,Gründerzeit,56,4579.6,2,Flat,Prefab panel,Triple-pane,District heating,24,None,None,None,Corporate landlord,H,2020-03-14,258.3,1993,FALSE
BLD-01512,Friedrichshain-Kreuzberg,10245,Innsbrucker Str. 117,52.518744,13.458607,1887,Gründerzeit,51,4528.8,6,Mansard,Concrete,Mixed,Oil boiler,35,None,Full,None,Municipal,G,2016-06-30,230.8,,FALSE
BLD-01513,Neukölln,12059,Landsberger Allee 88,52.466787,13.425274,1956,Post-war,25,1799.9,9,Hip,Sandstone,Single-pane,Mixed,24,Partial,None,None,Municipal,G,2017-05-26,213.3,2010,FALSE
BLD-01514,Pankow,13189,Marzahner Chaussee 5,52.558336,13.413559,1904,Gründerzeit,45,3677.8,7,Mansard,Render,Single-pane,Electric,7,Partial,None,Partial,Municipal,G,2019-07-07,238.4,,FALSE
BLD-01515,Treptow-Köpenick,12487,Wrangelstr. 106,52.471403,13.491756,1967,Plattenbau,15,1191.3,6,Mansard,Prefab panel,Single-pane,Gas boiler,17,None,None,None,Municipal,F,2021-08-25,190.3,2018,FALSE
BLD-01516,Friedrichshain-Kreuzberg,10961,Lichtenberger Str. 126,52.513238,13.449562,1997,Modern,11,941.4,3,Mansard,Sandstone,Triple-pane,Gas boiler,34,None,Partial,None,Condominium,D,2020-08-07,109.7,2009,FALSE
BLD-01517,Tempelhof-Schöneberg,10777,Rummelsburger Str. 100,52.46052,13.331778,1871,Altbau,6,444.8,9,Pitched,Mixed,Double-pane,Heat pump,3,None,Partial,None,Municipal,H,2020-02-28,250.2,2007,FALSE
BLD-01518,Neukölln,12059,Heerstr. 81,52.470137,13.445843,1956,Post-war,5,523.6,8,Flat,Brick,Triple-pane,Electric,16,None,None,Full,Corporate landlord,F,2023-08-23,180.9,2017,FALSE
BLD-01519,Lichtenberg,13051,Mariendorfer Damm 125,52.510882,13.483856,1971,Plattenbau,58,5433.3,7,Hip,Prefab panel,Single-pane,Gas boiler,30,Partial,Partial,None,Condominium,E,2016-06-28,158.6,2003,FALSE
BLD-01520,Friedrichshain-Kreuzberg,10249,Frankfurter Allee 50,52.500762,13.440724,1979,1980s block,4,261.7,6,Hip,Prefab panel,Single-pane,Mixed,20,None,None,Partial,Corporate landlord,D,2017-07-17,125.0,2004,FALSE
BLD-01521,Reinickendorf,13439,Berliner Str. 178,52.574873,13.355615,1954,Post-war,2,187.4,5,Pitched,Mixed,Single-pane,Heat pump,15,None,Partial,None,Housing cooperative,F,2023-09-07,193.3,2013,FALSE
BLD-01522,Pankow,13158,Karl-Marx-Str. 47,52.581218,13.42623,2003,Modern,9,895.8,9,Mansard,Mixed,Double-pane,District heating,33,Full,Full,Partial,Corporate landlord,B,2019-05-18,73.1,2022,FALSE
BLD-01523,Pankow,13086,Torstr. 20,52.587846,13.451709,1956,Post-war,23,1672.7,4,Flat,Render,Single-pane,Gas boiler,32,Partial,Partial,None,Corporate landlord,G,2021-05-13,209.4,1999,FALSE
BLD-01524,Marzahn-Hellersdorf,12629,Sonnenallee 116,52.527744,13.593076,1956,Post-war,22,1666.8,6,Mansard,Mixed,Single-pane,Oil boiler,21,None,None,None,Housing cooperative,G,2018-03-19,210.8,1997,FALSE
BLD-01525,Reinickendorf,13469,Karl-Marx-Str. 22,52.584958,13.351161,1972,Plattenbau,60,3919.0,9,Pitched,Prefab panel,Double-pane,Gas boiler,14,Full,None,None,Corporate landlord,F,2022-04-08,181.3,1996,FALSE
BLD-01526,Charlottenburg-Wilmersdorf,14193,Brunsbütteler Damm 78,52.519313,13.330559,1883,Gründerzeit,36,3686.7,6,Pitched,Prefab panel,Single-pane,District heating,11,Partial,None,None,Private landlord,H,2015-11-02,279.2,,FALSE
BLD-01527,Charlottenburg-Wilmersdorf,10623,Frankfurter Allee 29,52.501328,13.348234,1974,Plattenbau,12,1261.5,5,Pitched,Prefab panel,Single-pane,Electric,31,None,Partial,Partial,Municipal,F,2018-04-07,191.6,2020,FALSE
BLD-01528,Marzahn-Hellersdorf,12619,Spandauer Str. 112,52.554612,13.586298,1904,Altbau,17,1287.7,9,Mansard,Brick,Single-pane,Mixed,31,Partial,Partial,None,Private landlord,G,2022-02-20,228.0,1996,FALSE
BLD-01529,Mitte,10119,Zehlendorfer Str. 144,52.525912,13.412278,1912,Altbau,21,1733.7,3,Flat,Brick,Single-pane,Mixed,11,Full,None,None,Municipal,G,2018-05-03,241.0,2015,FALSE
BLD-01530,Tempelhof-Schöneberg,12105,Hauptstr. 103,52.468433,13.371218,1890,Altbau,47,4159.8,5,Pitched,Render,Triple-pane,Electric,3,None,None,Full,Corporate landlord,H,2023-01-25,263.6,2021,FALSE
BLD-01531,Charlottenburg-Wilmersdorf,10625,Potsdamer Str. 153,52.494574,13.337005,1978,1970s block,3,256.1,3,Mansard,Sandstone,Single-pane,District heating,26,Full,Partial,None,Corporate landlord,F,2016-08-05,167.6,2019,FALSE
BLD-01532,Neukölln,12051,Greifswalder Str. 18,52.46113,13.467644,1982,1980s block,22,2091.6,8,Mansard,Concrete,Triple-pane,Gas boiler,9,None,Partial,None,Condominium,F,2016-04-08,176.4,1991,FALSE
BLD-01533,Treptow-Köpenick,12557,Bergmannstr. 37,52.458342,13.507634,1906,Gründerzeit,40,2637.8,5,Mansard,Sandstone,Single-pane,Electric,20,None,Partial,None,Condominium,H,2022-08-27,251.0,1995,TRUE
BLD-01534,Steglitz-Zehlendorf,14169,Hauptstr. 123,52.440769,13.312309,1951,Post-war,10,865.7,8,Mansard,Brick,Single-pane,District heating,6,None,Partial,None,Housing cooperative,F,2015-07-12,184.7,1995,FALSE
BLD-01535,Treptow-Köpenick,12459,Richardstr. 132,52.44947,13.537136,2008,Modern,24,2067.5,9,Pitched,Concrete,Triple-pane,Electric,30,Full,Full,Partial,Private landlord,B,2020-07-11,74.1,2010,FALSE
BLD-01536,Reinickendorf,13403,Brunsbütteler Damm 116,52.563651,13.317632,1906,Altbau,21,1304.7,3,Hip,Brick,Single-pane,Heat pump,17,Partial,None,None,Corporate landlord,H,2017-08-07,264.1,2010,FALSE
BLD-01537,Neukölln,12055,Marzahner Chaussee 117,52.474552,13.416918,1906,Gründerzeit,27,2175.2,9,Hip,Brick,Single-pane,Oil boiler,15,Partial,None,Partial,Housing cooperative,G,2018-08-22,228.1,2019,FALSE
BLD-01538,Lichtenberg,13051,Spandauer Str. 61,52.532924,13.514734,1884,Altbau,16,1112.5,4,Hip,Mixed,Mixed,Heat pump,22,None,None,None,Municipal,G,2017-12-17,247.8,2011,FALSE
BLD-01539,Mitte,10119,Schönhauser Allee 151,52.525857,13.414845,1957,Post-war,29,2752.0,9,Flat,Brick,Single-pane,Oil boiler,25,None,None,None,Private landlord,G,2018-10-28,206.9,2000,FALSE
BLD-01540,Neukölln,12053,Pappelallee 123,52.483617,13.453087,1969,1970s block,5,289.1,3,Hip,Render,Single-pane,Heat pump,24,Partial,Partial,None,Housing cooperative,F,2022-07-22,175.3,2016,FALSE
BLD-01541,Pankow,13189,Torstr. 100,52.568264,13.421033,2008,Modern,8,663.0,6,Mansard,Mixed,Double-pane,District heating,1,None,None,Partial,Corporate landlord,C,2020-09-09,94.6,,FALSE
BLD-01542,Treptow-Köpenick,12489,Mariendorfer Damm 98,52.477082,13.481141,2008,Modern,25,2643.0,4,Hip,Brick,Double-pane,Electric,9,Full,Full,Full,Municipal,C,2023-10-08,78.8,2009,FALSE
BLD-01543,Neukölln,12057,Richardstr. 120,52.486163,13.436342,1918,Altbau,43,3711.9,5,Hip,Concrete,Single-pane,Heat pump,30,Partial,None,None,Corporate landlord,G,2017-01-22,220.4,2018,FALSE
BLD-01544,Friedrichshain-Kreuzberg,10243,Hermannstr. 32,52.518659,13.465557,1977,Plattenbau,40,2579.3,8,Pitched,Prefab panel,Single-pane,Mixed,11,None,None,Partial,Housing cooperative,E,2017-04-06,152.2,,FALSE
BLD-01545,Charlottenburg-Wilmersdorf,10585,Lichtenberger Str. 59,52.517573,13.295097,1950,Post-war,14,1376.4,2,Pitched,Render,Single-pane,Oil boiler,15,Partial,Partial,None,Private landlord,G,2019-06-22,218.0,1998,FALSE
BLD-01546,Neukölln,12059,Warschauer Str. 154,52.485798,13.429387,1947,Post-war,6,410.0,7,Pitched,Brick,Triple-pane,Oil boiler,34,None,None,None,Corporate landlord,G,2018-10-09,244.5,,FALSE
BLD-01547,Steglitz-Zehlendorf,12169,Heerstr. 3,52.434799,13.326566,1948,Post-war,13,1403.6,7,Flat,Sandstone,Triple-pane,District heating,29,None,Partial,Partial,Municipal,G,2023-07-11,213.4,1998,FALSE
BLD-01548,Mitte,10178,Mariendorfer Damm 141,52.526143,13.418546,1989,1980s block,16,904.1,8,Flat,Brick,Double-pane,Mixed,9,Partial,None,None,Condominium,E,2016-05-16,158.3,,FALSE
BLD-01549,Neukölln,12043,Sonnenallee 144,52.486569,13.415582,1974,1970s block,8,677.6,4,Hip,Sandstone,Single-pane,Heat pump,11,Partial,Full,Full,Corporate landlord,E,2020-07-28,155.0,,FALSE
BLD-01550,Friedrichshain-Kreuzberg,10961,Hellersdorfer Str. 93,52.515036,13.468334,1893,Gründerzeit,13,1053.8,3,Hip,Prefab panel,Single-pane,Heat pump,1,None,None,None,Condominium,H,2017-03-08,263.0,2022,TRUE
BLD-01551,Mitte,10115,Kastanienallee 135,52.521484,13.405079,1972,1970s block,12,759.0,3,Pitched,Concrete,Mixed,Mixed,1,Full,Partial,Partial,Private landlord,F,2023-02-10,194.4,2013,FALSE
BLD-01552,Spandau,13583,Köpenicker Str. 36,52.527926,13.217088,1992,Modern,3,232.0,6,Flat,Render,Triple-pane,Mixed,2,Full,None,Partial,Private landlord,C,2018-12-27,94.6,,FALSE
BLD-01553,Marzahn-Hellersdorf,12683,Müllerstr. 59,52.521379,13.551957,1903,Gründerzeit,27,2199.7,2,Mansard,Prefab panel,Double-pane,District heating,1,None,None,None,Corporate landlord,H,2019-03-06,256.6,2021,FALSE
BLD-01554,Charlottenburg-Wilmersdorf,14195,Bergmannstr. 110,52.497566,13.317444,1875,Altbau,57,4187.0,6,Flat,Concrete,Single-pane,Heat pump,5,None,None,None,Housing cooperative,G,2023-04-26,229.4,2011,FALSE
BLD-01555,Friedrichshain-Kreuzberg,10967,Frankfurter Allee 145,52.495174,13.441899,1975,1970s block,21,1928.1,9,Pitched,Sandstone,Single-pane,Gas boiler,9,None,None,Full,Private landlord,F,2016-05-03,198.5,1999,FALSE
BLD-01556,Reinickendorf,13437,Invalidenstraße 145,52.560685,13.308148,1968,1970s block,28,2426.0,6,Flat,Render,Single-pane,Electric,11,None,Partial,None,Corporate landlord,F,2016-02-27,165.8,,FALSE
BLD-01557,Lichtenberg,13055,Berliner Str. 110,52.536152,13.526739,1886,Gründerzeit,53,3157.8,9,Flat,Brick,Triple-pane,Oil boiler,30,Partial,None,None,Housing cooperative,H,2022-10-21,258.4,2009,FALSE
BLD-01558,Spandau,13597,Lichtenberger Str. 106,52.546482,13.237871,1972,Plattenbau,10,880.7,7,Flat,Prefab panel,Double-pane,Oil boiler,31,None,Full,None,Municipal,F,2017-08-23,192.5,2017,FALSE
BLD-01559,Neukölln,12057,Pappelallee 49,52.461015,13.45509,1999,Modern,8,818.4,7,Hip,Sandstone,Triple-pane,District heating,25,Partial,Full,Full,Housing cooperative,B,2020-05-05,62.7,,FALSE
BLD-01560,Reinickendorf,13435,Schönhauser Allee 41,52.565026,13.331482,1988,1980s block,3,209.6,5,Pitched,Mixed,Triple-pane,District heating,19,Partial,Full,Partial,Municipal,E,2021-07-08,148.3,1993,FALSE
BLD-01561,Reinickendorf,13403,Berliner Str. 108,52.580543,13.290759,2001,Modern,17,1381.8,5,Flat,Prefab panel,Double-pane,Heat pump,25,Partial,Full,Full,Condominium,C,2016-05-30,98.3,2021,FALSE
BLD-01562,Mitte,10117,Müllerstr. 153,52.523252,13.39998,1882,Gründerzeit,47,4970.8,6,Pitched,Brick,Double-pane,Heat pump,16,None,None,None,Private landlord,H,2022-12-21,258.8,,FALSE
BLD-01563,Pankow,13158,Nonnendammallee 85,52.555537,13.385925,1977,1970s block,27,2790.0,2,Pitched,Sandstone,Single-pane,Electric,15,Partial,Full,Partial,Condominium,E,2018-09-13,158.7,2007,FALSE
BLD-01564,Spandau,13585,Greifswalder Str. 166,52.517106,13.217709,1890,Gründerzeit,41,3798.3,8,Hip,Render,Double-pane,Oil boiler,16,Partial,Partial,None,Corporate landlord,H,2015-03-23,265.2,2000,FALSE
BLD-01565,Pankow,13089,Zehlendorfer Str. 84,52.563249,13.450144,1872,Altbau,48,3018.2,5,Pitched,Sandstone,Single-pane,Mixed,4,None,Partial,None,Municipal,H,2018-05-16,283.7,2016,FALSE
BLD-01566,Lichtenberg,13053,Nonnendammallee 64,52.50855,13.501613,1903,Gründerzeit,47,3407.3,7,Pitched,Mixed,Double-pane,Mixed,16,Partial,None,None,Private landlord,H,2019-06-29,256.2,1999,FALSE
BLD-01567,Reinickendorf,13403,Richardstr. 69,52.588062,13.32543,1982,1980s block,21,1508.2,5,Flat,Mixed,Mixed,Heat pump,2,None,Full,Partial,Housing cooperative,F,2018-08-01,169.6,2001,FALSE
BLD-01568,Reinickendorf,13437,Landsberger Allee 86,52.562853,13.327505,1971,1970s block,9,936.5,3,Flat,Brick,Double-pane,Oil boiler,22,Full,None,Partial,Condominium,E,2022-01-20,133.4,2003,FALSE
BLD-01569,Charlottenburg-Wilmersdorf,10629,Invalidenstraße 76,52.500858,13.339159,1895,Gründerzeit,18,1617.2,2,Mansard,Concrete,Triple-pane,District heating,4,None,None,None,Condominium,H,2017-07-31,265.8,,FALSE
BLD-01570,Friedrichshain-Kreuzberg,10965,Warschauer Str. 84,52.496205,13.434912,1871,Altbau,33,2478.6,3,Mansard,Prefab panel,Single-pane,Heat pump,4,None,None,Partial,Corporate landlord,H,2017-12-28,267.8,1993,FALSE
BLD-01571,Pankow,13089,Berliner Str. 21,52.587315,13.415394,1988,1980s block,7,698.0,7,Pitched,Concrete,Triple-pane,District heating,33,None,None,Partial,Private landlord,E,2020-06-14,150.5,1994,FALSE
BLD-01572,Charlottenburg-Wilmersdorf,10627,Landsberger Allee 177,52.52162,13.304451,1955,Post-war,10,889.1,3,Hip,Brick,Single-pane,Heat pump,21,None,None,None,Housing cooperative,F,2020-07-25,165.4,2015,FALSE
BLD-01573,Charlottenburg-Wilmersdorf,10589,Warschauer Str. 72,52.523558,13.324226,1971,1970s block,2,123.2,8,Hip,Concrete,Double-pane,Mixed,35,None,None,Full,Housing cooperative,F,2023-01-12,184.6,2010,FALSE
BLD-01574,Mitte,10178,Schönhauser Allee 75,52.523716,13.373658,1961,Plattenbau,22,1816.2,8,Mansard,Prefab panel,Triple-pane,Electric,29,None,None,Partial,Municipal,F,2015-11-13,165.2,,FALSE
BLD-01575,Reinickendorf,13439,Schönhauser Allee 152,52.556079,13.364662,1876,Altbau,4,421.6,3,Hip,Mixed,Single-pane,Gas boiler,14,Partial,None,Partial,Corporate landlord,H,2016-09-01,262.3,2022,FALSE
BLD-01576,Treptow-Köpenick,12437,Danziger Str. 101,52.466897,13.500712,1993,Modern,14,1197.2,5,Pitched,Render,Mixed,Heat pump,35,Full,None,Partial,Housing cooperative,C,2015-12-29,78.0,2015,FALSE
BLD-01577,Tempelhof-Schöneberg,10777,Lichtenberger Str. 98,52.499686,13.37394,1952,Post-war,26,1973.7,4,Flat,Sandstone,Single-pane,Heat pump,10,None,Partial,None,Municipal,F,2016-10-03,196.4,1997,FALSE
BLD-01578,Spandau,13595,Neuköllner Str. 91,52.516945,13.193521,1972,1970s block,2,166.7,9,Pitched,Sandstone,Single-pane,Heat pump,29,Partial,None,Partial,Corporate landlord,F,2023-07-11,195.3,2013,FALSE
BLD-01579,Spandau,13591,Neuköllner Str. 106,52.553962,13.22253,1969,1970s block,10,814.4,8,Pitched,Render,Single-pane,Electric,27,Partial,None,None,Municipal,F,2019-03-07,174.4,,FALSE
BLD-01580,Neukölln,12045,Mariendorfer Damm 12,52.45794,13.428259,1956,Post-war,21,2103.3,7,Flat,Prefab panel,Single-pane,Gas boiler,33,None,None,None,Private landlord,F,2022-01-07,181.4,2003,FALSE
BLD-01581,Pankow,10115,Heerstr. 89,52.575988,13.392123,1973,1970s block,26,1773.5,5,Hip,Mixed,Single-pane,District heating,2,None,Full,None,Condominium,E,2016-02-12,141.4,2020,FALSE
BLD-01582,Pankow,13158,Spandauer Str. 173,52.545387,13.405485,1960,Plattenbau,56,3522.2,3,Pitched,Prefab panel,Single-pane,Oil boiler,19,None,Partial,Full,Housing cooperative,F,2018-08-08,170.4,,FALSE
BLD-01583,Steglitz-Zehlendorf,14163,Schönhauser Allee 171,52.456543,13.242822,1988,1980s block,19,1638.6,5,Hip,Render,Mixed,Heat pump,16,Full,Partial,None,Corporate landlord,E,2020-09-19,139.3,2009,FALSE
BLD-01584,Tempelhof-Schöneberg,10783,Eberswalder Str. 64,52.455594,13.385883,1982,1980s block,26,1469.3,2,Pitched,Prefab panel,Double-pane,Oil boiler,11,Partial,Partial,Partial,Corporate landlord,E,2018-06-12,141.0,2004,FALSE
BLD-01585,Neukölln,12051,Hellersdorfer Str. 165,52.458722,13.469495,1973,1970s block,10,965.0,8,Flat,Sandstone,Mixed,District heating,23,None,None,None,Private landlord,F,2020-11-07,178.2,2014,FALSE
BLD-01586,Steglitz-Zehlendorf,12167,Zehlendorfer Str. 15,52.450355,13.269458,1880,Altbau,10,570.5,5,Flat,Prefab panel,Single-pane,Heat pump,30,None,Partial,None,Municipal,G,2016-02-23,238.5,,FALSE
BLD-01587,Steglitz-Zehlendorf,14195,Prenzlauer Allee 27,52.455374,13.243913,1989,1980s block,7,514.7,2,Hip,Render,Triple-pane,Gas boiler,35,None,Partial,Partial,Private landlord,F,2017-01-06,175.2,,FALSE
BLD-01588,Treptow-Köpenick,12559,Köpenicker Str. 9,52.454696,13.507541,1987,1980s block,14,1090.5,5,Mansard,Concrete,Triple-pane,Heat pump,21,Partial,None,Full,Corporate landlord,E,2018-02-28,141.4,,FALSE
BLD-01589,Pankow,13086,Marzahner Chaussee 39,52.579962,13.403357,1954,Post-war,19,1245.0,8,Pitched,Concrete,Double-pane,Heat pump,5,None,None,None,Housing cooperative,G,2019-02-12,219.7,,FALSE
BLD-01590,Friedrichshain-Kreuzberg,10969,Britzer Damm 162,52.495789,13.42915,1980,1980s block,10,882.4,3,Flat,Mixed,Mixed,Heat pump,1,None,None,None,Municipal,E,2015-12-16,142.6,,FALSE
BLD-01591,Friedrichshain-Kreuzberg,10969,Frankfurter Allee 149,52.509197,13.464661,1905,Gründerzeit,41,3909.4,4,Hip,Mixed,Double-pane,Oil boiler,32,None,None,None,Municipal,G,2021-04-13,234.1,2003,FALSE
BLD-01592,Mitte,10117,Wrangelstr. 18,52.520237,13.384045,1980,1980s block,5,360.8,3,Mansard,Brick,Mixed,Mixed,15,Partial,Partial,Partial,Condominium,E,2018-07-13,130.1,2018,FALSE
BLD-01593,Lichtenberg,10315,Brunsbütteler Damm 93,52.508937,13.501531,1968,1970s block,20,1971.6,6,Hip,Render,Single-pane,Mixed,33,None,Partial,Full,Municipal,E,2020-11-26,159.0,,FALSE
BLD-01594,Friedrichshain-Kreuzberg,10961,Britzer Damm 70,52.515233,13.441221,1953,Post-war,6,481.0,4,Hip,Sandstone,Single-pane,Gas boiler,30,Partial,Partial,None,Housing cooperative,G,2015-04-22,200.2,,FALSE
BLD-01595,Neukölln,12051,Köpenicker Str. 135,52.464039,13.447643,1968,1970s block,21,1440.2,5,Pitched,Mixed,Single-pane,Mixed,19,Partial,None,None,Private landlord,E,2017-01-31,138.3,2015,FALSE
BLD-01596,Friedrichshain-Kreuzberg,10243,Torstr. 110,52.515836,13.421015,1905,Gründerzeit,30,2035.7,7,Pitched,Mixed,Double-pane,Oil boiler,32,None,None,Partial,Municipal,G,2017-09-15,234.3,,FALSE
BLD-01597,Friedrichshain-Kreuzberg,10243,Karl-Marx-Str. 76,52.519911,13.456154,1969,1970s block,7,472.0,7,Pitched,Render,Double-pane,Gas boiler,18,Full,None,Partial,Municipal,F,2018-04-05,164.7,2015,FALSE
BLD-01598,Spandau,13597,Lichtenberger Str. 133,52.527036,13.22449,1983,1980s block,18,1501.6,6,Hip,Brick,Mixed,District heating,26,None,None,None,Private landlord,E,2015-04-14,149.3,2019,FALSE
BLD-01599,Mitte,10115,Landsberger Allee 168,52.52389,13.417484,1973,1970s block,20,1755.1,6,Flat,Brick,Single-pane,Gas boiler,8,Partial,None,None,Private landlord,F,2019-12-17,161.0,,FALSE
BLD-01600,Tempelhof-Schöneberg,10777,Karl-Marx-Allee 44,52.499672,13.349462,1887,Altbau,20,1194.7,6,Mansard,Prefab panel,Triple-pane,Heat pump,18,Partial,None,None,Condominium,H,2017-08-09,252.3,,FALSE
BLD-01601,Spandau,13593,Richardstr. 42,52.554322,13.244793,1978,Plattenbau,8,781.5,9,Pitched,Prefab panel,Mixed,District heating,24,None,Full,None,Condominium,F,2015-01-06,172.2,1993,FALSE
BLD-01602,Reinickendorf,13407,Hermannstr. 55,52.572313,13.322337,2002,Modern,24,2583.6,3,Hip,Mixed,Triple-pane,District heating,7,Partial,Full,None,Municipal,B,2017-06-05,71.5,2012,FALSE
BLD-01603,Reinickendorf,13407,Invalidenstraße 51,52.567287,13.329625,1903,Gründerzeit,53,5380.5,7,Hip,Prefab panel,Double-pane,Electric,10,None,Partial,Partial,Municipal,G,2022-05-22,243.0,2019,FALSE
BLD-01604,Spandau,13583,Danziger Str. 148,52.554596,13.247127,1985,Plattenbau,9,949.1,9,Hip,Prefab panel,Triple-pane,Gas boiler,28,Partial,None,Full,Private landlord,E,2019-02-05,154.6,1996,FALSE
BLD-01605,Charlottenburg-Wilmersdorf,10627,Potsdamer Str. 100,52.506188,13.288771,1970,Plattenbau,3,280.1,8,Flat,Prefab panel,Triple-pane,Oil boiler,26,Partial,None,None,Housing cooperative,G,2019-06-30,200.7,,FALSE
BLD-01606,Reinickendorf,13465,Sonnenallee 93,52.555701,13.365094,1968,1970s block,29,2550.9,5,Flat,Prefab panel,Triple-pane,Mixed,7,Partial,None,None,Corporate landlord,E,2019-06-07,144.8,1999,FALSE
BLD-01607,Pankow,10115,Kastanienallee 100,52.556463,13.435902,1870,Altbau,5,490.5,3,Pitched,Mixed,Double-pane,Gas boiler,21,Partial,None,None,Municipal,G,2015-10-30,247.1,2019,FALSE
BLD-01608,Spandau,13589,Brunsbütteler Damm 21,52.553557,13.232289,1990,Plattenbau,7,385.5,5,Flat,Prefab panel,Mixed,District heating,34,Partial,Partial,Partial,Housing cooperative,F,2022-06-20,162.4,1994,FALSE
BLD-01609,Lichtenberg,13057,Neuköllner Str. 19,52.516513,13.483765,1886,Altbau,44,3700.7,6,Hip,Mixed,Triple-pane,Mixed,16,None,None,None,Municipal,G,2019-01-26,246.5,2016,FALSE
BLD-01610,Pankow,13086,Heerstr. 141,52.589391,13.449489,1988,Plattenbau,10,775.9,2,Pitched,Prefab panel,Mixed,Mixed,26,Partial,None,Partial,Housing cooperative,F,2016-05-12,164.4,1994,FALSE
BLD-01611,Lichtenberg,13051,Tempelhofer Damm 68,52.532281,13.480888,1883,Gründerzeit,46,4067.1,8,Hip,Sandstone,Single-pane,Mixed,5,Partial,Partial,None,Municipal,H,2020-03-09,269.2,1990,FALSE
BLD-01612,Pankow,13088,Hellersdorfer Str. 59,52.579078,13.439978,1995,Modern,12,1180.3,4,Flat,Mixed,Triple-pane,Heat pump,7,Full,Partial,Partial,Condominium,C,2019-04-08,77.1,2003,FALSE
BLD-01613,Spandau,13591,Kastanienallee 81,52.548055,13.191579,1989,Plattenbau,41,3972.4,8,Mansard,Prefab panel,Triple-pane,Mixed,34,None,None,Partial,Housing cooperative,E,2023-07-11,159.6,2017,FALSE
BLD-01614,Reinickendorf,13469,Potsdamer Str. 20,52.574575,13.299037,1958,Post-war,9,517.9,5,Mansard,Brick,Mixed,Gas boiler,21,None,None,None,Corporate landlord,F,2020-08-08,191.3,2011,FALSE
BLD-01615,Steglitz-Zehlendorf,12163,Torstr. 124,52.464692,13.321886,1986,1980s block,21,1353.3,2,Mansard,Sandstone,Double-pane,Mixed,10,None,Partial,Partial,Private landlord,E,2022-12-31,131.6,2014,FALSE
